Verb,Usage (Grammar)
auftragen,jdm. (Dat) etw. (Akk) / etw. (Akk)
aufwachen,---
ausschalten,etw. (Akk)
ausscheiden,aus etw. (Dat)
backen,jdm. (Dat) etw. (Akk)
befriedigen,jdn./etw. (Akk)
einschätzen,jdn./etw. (Akk)
versagen,jdm. (Dat) etw. (Akk) / ---
erschließen,jdm. (Dat) etw. (Akk)
formen,etw. (Akk)
kriechen,---
lenken,etw. (Akk)
erziehen,jdn. (Akk) zu etw.
jagen,jdn./etw. (Akk)
beschädigen,etw. (Akk)
bekämpfen,etw. (Akk)
reiten,etw. (Akk)
kombinieren,etw. (Akk) mit etw.
veranstalten,etw. (Akk)
motivieren,jdn. (Akk) zu etw.
untergehen,---
umbringen,jdn. (Akk) / sich
spaziergang,---
versammeln,jdn./etw. (Akk)
verzweifeln,an jdm./etw. (Dat)
verdanken,jdm. (Dat) etw. (Akk)
wandeln,etw. (Akk) / sich
zusehen,jdm. (Dat) bei etw.
aktivieren,etw. (Akk)
berufen,jdn. (Akk) zu etw. / sich auf etw.
bewältigen,etw. (Akk)
aufsuchen,jdn./etw. (Akk)
zusammenkommen,mit jdm.
zusammenleben,mit jdm.
abziehen,jdm. (Dat) etw. (Akk) / etw. (Akk)
sich bewähren,---
blühen,---
beinhalten,etw. (Akk)
bereitstellen,jdm. (Dat) etw. (Akk)
ausstellen,etw. (Akk)
sich erholen,von etw. (Dat)
sich erstrecken,über etw. (Akk)
einreichen,etw. (Akk) bei jdm.
erfreuen,jdn. (Akk) / sich an etw. (Dat)
einschlagen,etw. (Akk)
erschießen,jdn. (Akk)
ersparen,jdm. (Dat) etw. (Akk)
ertragen,etw. (Akk)
gestehen,jdm. (Dat) etw. (Akk)
löschen,etw. (Akk)
konfrontieren,jdn. (Akk) mit etw.
infizieren,jdn. (Akk) mit etw.
strahlen,---
schweben,---
veranlassen,jdn. (Akk) zu etw. / etw. (Akk)
telefonieren,mit jdm.
verpassen,jdm. (Dat) etw. (Akk) / etw. (Akk)
vorangehen,jdm. (Dat)
unterschreiben,etw. (Akk)
überstehen,etw. (Akk)
trösten,jdn. (Akk)
weitermachen,mit etw.
weitergeben,jdm. (Dat) etw. (Akk)
verhaften,jdn. (Akk)
verkehren,mit jdm.
anrichten,etw. (Akk)
anstehen,---
ausdehnen,etw. (Akk) / sich
abschneiden,etw. (Akk) / bei etw.
aufschreiben,jdm. (Dat) etw. (Akk)
aufrufen,jdn. (Akk) zu etw.
anordnen,etw. (Akk)
aufspringen,auf etw. (Akk)
abheben,etw. (Akk) / sich von jdm.
zustehen,jdm. (Dat)
zulegen,sich (Dat) etw. (Akk) / ---
agieren,---
beabsichtigen,etw. (Akk)
ausnutzen,jdn./etw. (Akk)
ausweichen,jdm./etw. (Dat)
bergen,etw. (Akk)
sich begeben,an/zu etw. (Dat)
beeinträchtigen,etw. (Akk)
beseitigen,etw. (Akk)
begehen,etw. (Akk)
ausprobieren,etw. (Akk)
demonstrieren,etw. (Akk) / gegen/für etw.
fressen,etw. (Akk)
charakterisieren,jdn./etw. (Akk)
erwecken,etw. (Akk)
einlassen,jdn. (Akk) / sich auf etw.
erschweren,jdm. (Dat) etw. (Akk)
flüchten,vor jdm./etw. (Dat)
dokumentieren,etw. (Akk)
erwachen,---
erschöpfen,jdn./etw. (Akk) / sich
erforschen,etw. (Akk)
gießen,etw. (Akk)
lauschen,jdm./etw. (Dat)
locken,jdn. (Akk)
hervorgehen,aus etw. (Dat)
irren,sich
gleichen,jdm./etw. (Dat)
grüßen,jdn. (Akk)
loswerden,jdn./etw. (Akk)
spiegeln,etw. (Akk) / sich in etw.
sicherstellen,etw. (Akk)
stehlen,jdm. (Dat) etw. (Akk)
überwachen,jdn./etw. (Akk)
umwandeln,etw. (Akk) in etw.
überziehen,etw. (Akk)
zusammenstellen,etw. (Akk)
abwenden,etw. (Akk) von jdm. / sich von jdm.
auswerten,etw. (Akk)
zurücklegen,etw. (Akk)
aufbewahren,etw. (Akk)
ansiedeln,jdn. (Akk) / sich
zusagen,jdm. (Dat) / etw. (Akk)
aufschlagen,etw. (Akk)
beschaffen,jdm. (Dat) etw. (Akk) / sich (Dat)
erhoffen,sich (Dat) etw. (Akk) von jdm.
beleben,etw. (Akk)
entfalten,etw. (Akk) / sich
einsehen,etw. (Akk)
eilen,---
erleiden,etw. (Akk)
fixieren,etw. (Akk)
freigeben,etw. (Akk)
hervorrufen,etw. (Akk)
festnehmen,jdn. (Akk)
hassen,jdn./etw. (Akk)
hinnehmen,etw. (Akk)
klingeln,---
lagern,etw. (Akk)
kommentieren,etw. (Akk)
seufzen,---
regnen,---
rauschen,---
plädieren,auf etw. (Akk) / für etw.
rutschen,---
unterstreichen,etw. (Akk)
verfallen,jdm./etw. (Dat)
strecken,etw. (Akk) / sich
umarmen,jdn. (Akk)
spezialisieren,sich auf etw. (Akk)
auflegen,etw. (Akk)
verschärfen,etw. (Akk) / sich
zurückgeben,jdm. (Dat) etw. (Akk)
vernehmen,jdn./etw. (Akk)
vermindern,etw. (Akk) / sich
brüllen,---
durchziehen,etw. (Akk)
erlassen,jdm. (Dat) etw. (Akk) / etw. (Akk)
aufreißen,etw. (Akk)
auslegen,jdm. (Dat) etw. (Akk) / etw. (Akk)
aufrichten,jdn./etw. (Akk) / sich
einlegen,etw. (Akk)
fotografieren,jdn./etw. (Akk)
gestatten,jdm. (Dat) etw. (Akk)
hervorheben,etw. (Akk)
herausnehmen,jdm. (Dat) etw. (Akk) / etw. (Akk)
lügen,jdn. (Akk) an / ---
operieren,jdn. (Akk)
strukturieren,etw. (Akk)
sich schämen,für/wegen etw. (Gen)
servieren,jdm. (Dat) etw. (Akk)
zielen,auf jdn./etw. (Akk)
vorbeugen,etw. (Dat)
zutrauen,jdm. (Dat) etw. (Akk)
zurückweisen,jdn./etw. (Akk)
verdoppeln,etw. (Akk) / sich
vereinfachen,etw. (Akk)
wehen,---
vorlesen,jdm. (Dat) etw. (Akk)
verwundern,jdn. (Akk)
verdrängen,jdn./etw. (Akk)
zuführen,jdm. (Dat) etw. (Akk)
zerreißen,etw. (Akk)
unterdrücken,jdn./etw. (Akk)
anmerken,jdm. (Dat) etw. (Akk)
ausnehmen,jdn./etw. (Akk)
beten,zu jdm. / für jdn./etw.
abgrenzen,etw. (Akk) von etw. / sich
aufziehen,jdn./etw. (Akk)
ablenken,jdn. (Akk) von etw.
abschalten,etw. (Akk)
abreißen,etw. (Akk)
sich benehmen,---
bremsen,jdn./etw. (Akk)
dulden,etw. (Akk)
sich erkundigen,bei jdm. nach etw.
einholen,jdn./etw. (Akk)
bohren,in etw. (Akk/Dat)
braten,jdm. (Dat) etw. (Akk)
durchgehen,etw. (Akk)
installieren,etw. (Akk)
loslassen,jdn./etw. (Akk)
konzipieren,etw. (Akk)
repräsentieren,jdn./etw. (Akk)
schreiten,---
täuschen,jdn. (Akk) / sich in jdm.
protestieren,gegen etw.
spannen,etw. (Akk)
schimpfen,mit jdm. / über jdn./etw. (Akk)
überfordern,jdn. (Akk)
umstellen,etw. (Akk)
wegnehmen,jdm. (Dat) etw. (Akk)
zurückgreifen,auf jdn./etw. (Akk)
angehören,etw./jdm. (Dat)
vorherrschen,---
verfassen,etw. (Akk)
vertiefen,etw. (Akk) / sich in etw.
festsetzen,etw. (Akk)
anvertrauen,jdm. (Dat) etw. (Akk)
aufräumen,etw. (Akk)
antun,jdm. (Dat) etw. (Akk)
entgehen,jdm. (Dat)
mahnen,jdn. (Akk) zu etw.
inszenieren,etw. (Akk)
herausgeben,jdm. (Dat) etw. (Akk) / etw. (Akk)
verbrauchen,etw. (Akk)
schleichen,---
trocknen,etw. (Akk) / sich
reflektieren,etw. (Akk)
segeln,---
vernachlässigen,jdn./etw. (Akk)
unterstellen,jdm. (Dat) etw. (Akk)
streben,nach etw. (Dat)
überholen,jdn./etw. (Akk)
vorbeigehen,an jdm./etw. (Dat)
übertreiben,etw. (Akk)
fangen,jdn./etw. (Akk)
vortragen,jdm. (Dat) etw. (Akk)
